,Verse,Order,Normalized,MSA,WordOrder,KlausTyp
0,1,1.0,"Ek em sǽrðr ok ber ek gaflak
 undir hjarta mínu",xPE p1 nS cN xVB fF tPS mIN p1 nS vA xVB fP tPT vA gM nS cN sI xCC xVB fF tPS mIN p1 nS vA xPE p1 nS cN xNC gN nS cA sI xAP xNC gN nS cD sI xDP gN nS cD,"['S', 'V', 'V', 'S', 'O', 'O']",Undefined
1,10,9.0,Gnótt er eigi ráðs mér,xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xAV rP xNC gN nS cG sI xPE p1 nS cD,"['S', 'V', 'O']",Undefined
2,100,97.0,ok ef þú mátt þá fǿð þú hana með orðum ok leik,xCC xCS xPE p2 nS cN xVB fF tPS mIN p2 nS vA xAV rP xVB fF tPS mIP p2 nS vA xPE p2 nS cN xPE p3 gF nS cA xAP xNC gN nP cD sI xCC xNC gM nS cD sI,"['S', 'V', 'V', 'S', 'O', 'O', 'O']",Hypotaxe
3,101,98.0,"því at ǿska elskar gleði jafnan ok leikblandin
 mál",xCS xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xNC gF nS cA sI xAV rP xCC xAJ rP gN nP cA sI xNC gN nP cA sI,"['S', 'V', 'O']",Hypotaxe
4,102,99.0,þá fýsir hug ǿskumanna til ástar,xAV rP xVB fF tPS mIN p3 nS vA xNC gM nS cA sI xNC gM nP cG sI xAP xNC gF nS cG sI,"['V', 'O', 'O', 'O']",Undefined
5,103,100.0,sýn þik henni jafnan glaðan ok í hug góðum,xVB fF tPS mIP p2 nS vA xPE p2 nS cA xPE p3 gF nS cD xAV rP xAJ rP gM nS cA sI xCC xAP xNC gM nS cD sI xAJ rP gM nS cD sI,"['V', 'O', 'O', 'O']",Undefined
6,104,101.0,"því at hverr maðr sýnisk konum
 fegri glaðr en reiðr",xCS xDQ gM nS cN xNC gM nS cN sI xVB fF tPS mIN p3 nS vR xNC gF nP cD sI xAJ rC gM nS cN sD xAJ rP gM nS cN sI xCS xAJ rP gM nS cN sI,"['S', 'V', 'O']",Hypotaxe
7,105,102.0,eigi skalt þú mjǫk þegja ok still þó rǿðu þinni,xAV rP xVB fF tPS mIN p2 nS vA xPE p2 nS cN xAV rP xVB fI tPS vA xCC xVB fF tPS mIP p2 nS vA xAV rP xNC gF nS cD sI xDP gF nS cD,"['V', 'S', 'V', 'O']",Undefined
8,106,105.0,Oft hafnar mǽr manni fyrir litla sǫk,xAV rP xVB fF tPS mIN p3 nS vA xNC gF nS cN sI xNC gM nS cD sI xAP xAJ rP gF nS cA sI xNC gF nS cA sI,"['V', 'S', 'O']",Undefined
9,107,103.0,fǫgr rǿða nǿrir ást,xAJ rP gF nS cN sI xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xNC gF nS cA sI,"['S', 'V', 'O']",Undefined
10,108,104.0,ok fǫgr rǿða stillir grimman hug,xCC xAJ rP gF nS cN sI xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xAJ rP gM nS cA sI xNC gM nS cA sI,"['S', 'V', 'O']",Parataxe
11,109,106.0,ok ef staðr er til þá lát hana afls í leiki kenna,xCC xCS xNC gM nS cN sI xVB fF tPS mIN p3 nS vA xAP xAV rP xVB fF tPS mIP p2 nS vA xPE p3 gF nS cA xNC gN nS cG sI xAP xNC gM nS cD sI xVB fI tPS vA,"['S', 'V', 'V', 'O', 'O', 'O']",Hypotaxe
12,11,10.0,sem þeim er margt er at meini Þǫrf gerir margs at freista,xCS xDD gM nS cD xCS xAJ rP gN nS cN sI xVB fF tPS mIN p3 nS vA xAP xNC gN nS cD sI xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xAJ rP gN nS cG sI xIM xVB fI tPS vA,"['O', 'V', 'O', 'S', 'V']",Hypotaxe
13,110,107.0,Þá mun mǫrg þér þat veita er þik vǽnti eigi áðr,xAV rP xVB fF tPS mIN p3 nS vA xAJ rP gF nS cN sI xPE p2 nS cD xDD gN nS cA xVB fI tPS vA xCS xPE p2 nS cA xVB fF tPT mIN p3 nS vA xAV rP xAV rC,"['V', 'O', 'O', 'O', 'V']",Undefined
14,110,108.0,skammask stundum konur at segja vilja sinn,xVB fF tPS mIN p3 nP vR xNC gF nP cD sI xNC gF nP cN sI xIM xVB fI tPS vA xNC gM nS cA sI xDP gM nS cA,"['V', 'O', 'S']",Undefined
15,112,109.0,ok þat oft er þǽr vilja víst hafa þá munu þǽr þó nítta,xCC xDD gN nS cA xAV rP xCS xDD gF nP cN xVB fF tPS mIN p3 nP vA xAJ rP gN nS cA sI xVB fI tPS vA xAV rP xVB fF tPS mIN p3 nP vA xDD gF nP cN xAV rP xVB fI tPS vA,"['O', 'S', 'V', 'V', 'S']",Parataxe
16,113,110.0,stundum fegra þykkir ok meydóm at láta með afli,xNC gF nP cD sI xAJ rC gN nS cN sD xVB fF tPS mIN p3 nS vA xAV rP xNC gM nS cA sI xIM xVB fI tPS vA xAP xNC gN nS cD sI,"['O', 'V', 'O', 'O']",Undefined
17,114,111.0,en segja svá ger af mér vilja þinn,xCS xVB fI tPS vA xAV rP xVB fF tPS mIP p2 nS vA xAP xPE p1 nS cD xNC gM nS cA sI xDP gM nS cA,"['V', 'O', 'O']",Hypotaxe
18,115,112.0,þetta skalt þú ok víst varask ef þú átt fé lítit,xDD gN nS cA xVB fF tPS mIN p2 nS vA xPE p2 nS cN xAV rP xAJ rP gN nS cA sI xVB fI tPS vR xCS xPE p2 nS cN xVB fF tPS mIN p2 nS vA xNC gN nS cA sI xAJ rP gN nS cA sI,"['O', 'V', 'S', 'S', 'V', 'O']",Undefined
19,116,113.0,at þú leyn hana vesǫlð þinni ok fátǿkð,xCS xPE p2 nS cN xVB fF tPS mIP p2 nS vA xPE p3 gF nS cA xNC gF nS cD sI xDP gF nS cD xCC xNC gF nS cD sI,"['S', 'V', 'O']",Hypotaxe
20,117,114.0,snotr hefir fagra meðferð þó at lítit eigi,xAJ rP gM nS cN sI xVB fF tPS mIN p3 nS vA xAJ rP gF nS cA sI xNC gF nS cA sI xCS xAJ rP gN nS cA sI xAV rP,"['V', 'O']",Undefined
21,118,115.0,ok þó fram fǿrir gyllta rǿðu at í brjósti grát búi,xCC xAV rP xAV rP xVB fF tPS mIN p3 nS vA xVB fP tPT vA gF nS cA sI xNC gF nS cA sI xCS xAP xNC gN nS cD sI xNC gM nS cA sI xVB fF tPS mSU p3 nS vA,"['V', 'O', 'O', 'O', 'V']",Parataxe
22,119,116.0,Seg þik með orðum auðgari vera,xVB fF tPS mIP p2 nS vA xPE p2 nS cA xAP xNC gN nP cD sI xAJ rC gM nS cA sD xVB fI tPS vA,"['V', 'O', 'O']",Undefined
23,12,11.0,ok vél helpr oft sínum dróttni,xCC xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xAV rP xDP gM nS cD xNC gM nS cD sI,"['S', 'V', 'O']",Parataxe
24,120,117.0,"því at stórir
 hlutir ǫðlask með athygli",xCS xAJ rP gM nP cN sI xNC gM nP cN sI xVB fF tPS mIN p3 nP vR xAP xNC gN nS cD sI,"['S', 'V', 'O']",Hypotaxe
25,121,118.0,"ok verǫld hefir
 marga hluti þá er allir vitu",xCC xNC gF nS cN sI xVB fF tPS mIN p3 nS vA xAJ rP gM nP cA sI xNC gM nP cA sI xDD gM nP cA xCS xDQ gM nP cN xVB fF tPS mIN p3 nP vA,"['S', 'V', 'O', 'O', 'S', 'V']",Parataxe
26,122,119.0,ok af slíku mǽtti henni margt segja,xCC xAP xAJ rP gN nS cD sI xVB fF tPT mSU p3 nS vA xPE p3 gF nS cD xAJ rP gN nS cA sI xVB fI tPS vA,"['V', 'O']",Parataxe
27,123,120.0,trú þú því at mǫrgum stoðar mikit at ljúga,xVB fF tPS mIP p2 nS vA xPE p2 nS cN xDD gN nS cD xCS xAJ rP gU nP cD sI xVB fF tPS mIN p3 nS vA xAJ rP gN nS cA sI xIM xVB fI tPS vA,"['V', 'S', 'O', 'V']",Undefined
28,124,121.0,stórum spillir manni stundum satt at segja,xAJ rP gU nP cD sI xVB fF tPS mIN p3 nS vA xNC gM nS cD sI xNC gF nP cD sI xAJ rP gN nS cA sI xIM xVB fI tPS vA,"['V', 'O', 'O']",Undefined
29,125,122.0,finn þá er málvinir hennar eru,xVB fF tPS mIP p2 nS vA xDD gM nP cA xCS xNC gM nP cN sI xPE p3 gF nS cG xVB fF tPS mIN p3 nP vA,"['V', 'O', 'S', 'O', 'V']",Undefined
30,126,123.0,þá skalt þú oft gjǫfum gǿla ok með fagrmǽli fǿða,xDD gM nP cA xVB fF tPS mIN p2 nS vA xPE p2 nS cN xAV rP xNC gF nP cD sI xVB fI tPS vA xCC xAP xNC gN nS cD sI xVB fI tPS vA,"['O', 'V', 'S']",Undefined
31,127,124.0,at þeir rǿði hverr við annan gott um þik,xCS xDD gM nP cN xVB fF tPS mSU p3 nP vA xDQ gM nS cN xAP xDQ gM nS cA xAJ rP gN nS cA sI xAP xPE p2 nS cA,"['S', 'V', 'O']",Hypotaxe
32,128,125.0,ok þeir mǽli við meyna með lofi þínu,xCC xDD gM nP cN xVB fF tPS mSU p3 nP vA xAP xNC gF nS cA sD xAP xNC gN nS cD sI xDP gN nS cD,"['S', 'V', 'O']",Parataxe
33,129,126.0,en þá er hon íhugar,xCC xAV rP xCS xPE p3 gF nS cN xVB fF tPS mIN p3 nS vA,"['S', 'V']",Parataxe
34,13,12.0,"En mitt sár birtir sik með réttri skipan
",xCC xDP gN nS cN xNC gN nS cN sI xVB fF tPS mIN p3 nS vA xPE cA xAP xAJ rP gF nS cD sI xNC gF nS cD sI,"['S', 'V', 'O']",Parataxe
